"Jday","y1","y2","Tsoil","Tair","SWC","PAR","WS","PA","rH","LE","H","SR"
229.1666667,0.16878515656026,-0.985652865325784,23.03,19.5,26.6,-19.86191197,0.183519,102.05,95.235,-36.95,-0.271,NA
229.1875,0.148215612819683,-0.988955070828036,22.96,19.4,26.6,-19.85419686,0.199748,102.037,95.393,-36.95,-1.177,NA
229.2083333,0.127581741918588,-0.991828059256754,22.88,18.9,26.6,-19.25462807,0.082215,102.039,95.435,-45.2,0.163,NA
229.2291667,0.106892399750459,-0.994270594393492,22.8,19.3,26.6,1.855593192,0.181743,102.064,95.618,9.454,-1.0068,NA
229.25,0.0861567643208929,-0.996281592704469,22.74,20.6,26.6,84.11331478,0.317494,102.096,95.762,-1.938,-2.6357,NA
229.2708333,0.0653837359345207,-0.997860194153091,22.7,22.6,26.6,255.1956241,0.314797,102.117,95.546,75.5,43.6,NA
229.2916667,0.0445822304071496,-0.999005718067681,22.7,24,26.6,507.2529691,0.133782,102.132,95.037,54,28.3,NA
229.3125,0.023761475501201,-0.999717656282015,22.73,25.7,26.6,798.4426365,0.337828,102.165,90.905,136,60.475,NA
229.3333333,0.0029304078608539,-0.999995706345667,22.79,27.2,26.6,1018.57172,0.120358,102.179,78.443,149,74.7,NA
229.3541667,-0.0179020315918306,-0.999839745791737,22.87,28.4,26.6,1232.520053,0.531774,102.192,70.821,215,95.3,NA
229.375,-0.0387266013718227,-0.999249843805936,22.99,29.3,26.5,1380.100483,0.748096,102.211,66.118,229,112,5.21
229.3958333,-0.0595343633927983,-0.998226256705069,23.13,29.2,26.5,1752.604887,0.925636,102.23,67.459,346,128,4.15
229.4166667,-0.0803163865405518,-0.996769420705244,23.27,29.6,26.4,1179.571832,0.756623,102.245,61.237,351,91.5,NA
229.4375,-0.101063451695246,-0.99487998207394,23.4,29.9,26.4,2090.360611,0.709747,102.244,58.686,360,114.875,NA
229.4583333,-0.121766654231449,-0.992558754894278,23.51,30.3,26.3,2168.407606,0.746488,102.238,55.494,333,104,5.05
229.4791667,-0.142417107718619,-0.989806732361961,23.62,30.8,26.2,1906.170663,1.28013,102.226,53.04,410,136,4.98
229.5,-0.163005651402578,-0.986625135302573,23.72,30.8,26.1,2042.685266,0.887541,102.22,52.431,462,126,6.11
229.5208333,-0.183523448891156,-0.983015332386578,23.83,31,26,1895.66399,1.2742,102.215,53.668,417,109,6.27
229.5416667,-0.203961693138799,-0.978978869910865,23.93,31.1,25.9,2053.489553,0.909735,102.194,51.721,386.5,93.3,4.81
229.5625,-0.224311317529536,-0.974517538491824,24.03,30.9,25.9,1969.82998,1.77358,102.171,49.664,302,51.7,5.27
229.5833333,-0.244563588410381,-0.969633256042633,24.13,31.3,25.8,1866.55795,0.837315,102.147,47.284,365,47,6.05
229.6041667,-0.264709812512093,-0.964328115923109,24.19,31.3,25.7,1621.847159,1.10997,102.108,48.485,357,34.7,NA
229.625,-0.284741052761848,-0.958604471548133,24.25,31.3,25.7,1362.472119,1.15886,102.067,45.914,361,22.6,NA
229.6458333,-0.304648712350574,-0.952464782584184,24.29,31.3,25.6,1276.834465,1.18704,102.044,46.944,241.5,9.0457,NA
229.6666667,-0.324424245732369,-0.945911681279486,24.33,30.8,25.6,1086.568985,1.30178,102.048,51.497,164.7375,-2.1447,5.5
229.6875,-0.34405888027664,-0.938948074657372,24.36,30,25.6,836.8107825,1.20413,102.039,59.481,123.316666666667,-6.4268,NA
229.7083333,-0.36354418958858,-0.93157695453268,24.37,29.1,25.6,580.8778429,1.27946,102.028,63.078,28,-12.6,NA
229.7291667,-0.382871809215804,-0.923801481763164,24.38,26.9,25.6,250.8639888,1.61918,102.022,75.26,56.6333333333333,2.7066,NA
229.75,-0.402033165226879,-0.915625105628749,24.37,25.4,25.7,69.7941772,0.858745,101.999,84.034,27.95,0.565,5.65
229.7708333,-0.42102003454616,-0.907051338409657,24.35,24.8,25.7,12.22121544,0.443481,101.983,84.914,0.4,-8.1257,4.48
229.7916667,-0.439824266477783,-0.898083857230092,24.31,25.1,25.7,-17.65907475,1.30954,101.987,84.192,-29.85,-17,5.29
229.8125,-0.458437519270497,-0.888726640157204,24.26,24.7,25.7,-20.23211212,1.50825,102.008,84.509,-77.15,-13.5,5.05
229.8333333,-0.47685180527875,-0.878983706221223,24.21,24.5,25.7,-20.23250534,1.5254,102.041,84.847,-93.7333333333333,-16.7,5.41
229.8541667,-0.495059219391494,-0.868859234453709,24.16,24.6,25.7,-20.19695971,1.89216,102.067,86.042,-92.875,-18.9,5.77
229.875,-0.513051684612018,-0.858357716174772,24.12,24.3,25.7,-20.15771306,2.16443,102.065,87.973,-53,-17.9,NA
229.8958333,-0.530821479916449,-0.847483661470421,24.09,23.7,25.7,-20.16149042,1.63322,102.068,89.947,-93.0333333333333,-4.8927,NA
229.9166667,-0.548360976647846,-0.836241734960544,24.05,23.3,25.7,-20.16451625,1.08461,102.069,91.542,-55.5,-6.524,5.27
229.9375,-0.565662394104537,-0.824636923679703,24.01,22.8,25.8,-20.16272028,1.07154,102.077,92.263,-43.9333333333333,-2.4336,4.37
229.9583333,-0.58271830803476,-0.812674211157895,23.95,22.6,25.8,-20.14420407,0.688258,102.069,92.896,-43.9333333333333,-0.881,5.4
229.9791667,-0.599521396025422,-0.800358729388097,23.89,22.4,25.8,-20.12609112,1.1528,102.065,93.395,-18.8236666666667,-1.6842,NA
230,-0.616064204053364,-0.787695941645058,23.81,22.3,25.8,-20.13218457,1.16067,102.071,93.794,-18.8236666666667,-3.4962,NA
230.0208333,-0.632339633630483,-0.774691285442186,23.74,22.4,25.8,-20.12765298,1.1424,102.061,94.047,-13.1355,-2.3884,NA
230.0416667,-0.648340697181396,-0.761350340105225,23.66,22.4,25.8,-20.12469378,1.25771,102.05,94.227,-20.8989666666667,-3.9894,NA
230.0625,-0.66406029646926,-0.747679023815139,23.59,22.4,25.8,-20.10196876,1.33828,102.047,94.35,-20.8989666666667,-1.6913,NA
230.0833333,-0.679491686489071,-0.733683206835374,23.53,22.3,25.8,-20.09686121,1.31983,102.02,94.498,-30.24518,-3.5318,NA
230.1041667,-0.694628241789495,-0.719368894037291,23.46,22.4,25.8,-20.09083604,1.47404,102.008,94.631,-46.4,-3.0918,NA
230.125,-0.709463247638465,-0.7047424353977,23.4,22.3,25.8,-20.09812141,1.41523,101.982,94.706,-46.4,-0.561,NA
230.1458333,-0.723990338853177,-0.689810111006835,23.35,22.1,25.8,-20.10838463,1.05795,101.961,94.74,-46.4,-1.0378,NA
230.1666667,-0.738203277978589,-0.674578327832777,23.29,21.9,25.8,-20.10488796,1.31208,101.96,94.897,-28,-1.0696,NA
230.1875,-0.752095760008296,-0.659053842851662,23.23,21.7,25.9,-20.10007275,1.27186,101.954,94.947,-7.81355,-1.257,NA
230.2083333,-0.765661824437598,-0.643243321456887,23.17,21.1,25.9,-19.47718873,0.826595,101.937,94.98,-10.1,-1.9634,NA
230.2291667,-0.778895646164873,-0.627153547694187,23.11,21.4,25.9,3.214836153,0.914344,101.957,95.251,-5.5271,-3.5877,NA
230.25,-0.791791354530293,-0.610791659153171,23.07,22.4,25.9,87.7385521,1.32499,101.96,95.285,3.1032,-0.331,NA
230.2708333,-0.804343416982905,-0.594164680502185,23.04,23.5,25.9,219.2346387,1.01802,101.965,94.993,43,17.6,NA
230.2916667,-0.816546443521404,-0.577279746373062,23.03,25.2,25.9,511.0994138,1.1318,101.978,93.009,154,22.1,NA
230.3125,-0.828395020757341,-0.56014434709675,23.07,26.7,25.9,792.1920779,1.04751,101.984,80.871,185,33.2,NA
230.3333333,-0.839884065698003,-0.542765839185364,23.13,27.9,25.9,936.0738664,1.9523,101.987,76.94,177,38.4,4.41
230.3541667,-0.85100864449024,-0.52515167999625,23.23,28.7,25.9,1171.694243,2.06363,101.971,73.973,256,65.1,4.93
230.375,-0.86176382215615,-0.507309683352115,23.34,29.3,25.8,1422.644486,2.01937,101.988,71.199,345,85.5,5.51
230.3958333,-0.872144985110235,-0.489247508881821,23.48,30.3,25.7,1591.089551,2.31003,102.023,68.287,441,88.8,NA
